OID_PUMA5_20|GEOID_PUMA5_20|NAMELSAD_PUMA5_20|AREALAND_PUMA5_20|AREAWATER_PUMA5_20|MTFCC_PUMA5_20|FUNCSTAT_PUMA5_20|OID_PUMA5_10|GEOID_PUMA5_10|NAMELSAD_PUMA5_10|AREALAND_PUMA5_10|AREAWATER_PUMA5_10|MTFCC_PUMA5_10|FUNCSTAT_PUMA5_10|AREALAND_PART|AREAWATER_PART
217704485375438|4702002|Rutherford County--Smyrna town & La Vergne city PUMA|217113297|3804422|G6120|S|217404485551319|4702600|Williamson County--Franklin & Brentwood Cities PUMA|1509528020|3017704|G6120|S|13259|0
217704485375033|4702003|Rutherford County (North, East and South) PUMA|1232243946|8227288|G6120|S|217404485375895|4702401|Rutherford County (North)--Smyrna Town & La Vergne City PUMA|667645814|11969241|G6120|S|440241741|8093986
217704485375033|4702003|Rutherford County (North, East and South) PUMA|1232243946|8227288|G6120|S|217404485551950|4702402|Rutherford County (South)--Murfreesboro City PUMA|936241000|437315|G6120|S|792002205|133302
2177029730276348|4702101|Williamson County--Brentwood & Franklin cities, Nolensville town (west) PUMA|296691173|725369|G6120|S|217404485551319|4702600|Williamson County--Franklin & Brentwood Cities PUMA|1509528020|3017704|G6120|S|296691173|725369
2177029730276368|4702102|Williamson County--Thompson Station town & Fairview city PUMA|1212916026|2292335|G6120|S|217404485375893|4702505|Nashville-Davidson (Southwest) PUMA|322198306|1768750|G6120|S|92438|0
2177029730276368|4702102|Williamson County--Thompson Station town & Fairview city PUMA|1212916026|2292335|G6120|S|217404485551319|4702600|Williamson County--Franklin & Brentwood Cities PUMA|1509528020|3017704|G6120|S|1212823588|2292335
217704485375798|4702200|Maury County--Columbia & Spring Hill cities PUMA|1588022045|6318294|G6120|S|217404485375888|4702700|Maury, Bedford & Marshall Counties PUMA|3787176871|11100975|G6120|S|1588022045|6318294
217704485375886|4702300|Dickson, Cheatham & Hickman Counties PUMA|3638635438|15878067|G6120|S|217404485354835|4700400|Robertson, Dickson, Cheatham & Hickman Counties PUMA|4872286535|16329758|G6120|S|3638588652|15878067
217704485375886|4702300|Dickson, Cheatham & Hickman Counties PUMA|3638635438|15878067|G6120|S|217404485375885|4702502|Nashville-Davidson (North) PUMA|469599660|6135552|G6120|S|2004|0
217704485375886|4702300|Dickson, Cheatham & Hickman Counties PUMA|3638635438|15878067|G6120|S|217404485375893|4702505|Nashville-Davidson (Southwest) PUMA|322198306|1768750|G6120|S|44782|0
217704485375895|4702401|Nashville/Davidson County--Downtown, East & North Nashville PUMA|97159593|2331062|G6120|S|217404485375885|4702502|Nashville-Davidson (North) PUMA|469599660|6135552|G6120|S|15337777|137482
