OID_PUMA5_20|GEOID_PUMA5_20|NAMELSAD_PUMA5_20|AREALAND_PUMA5_20|AREAWATER_PUMA5_20|MTFCC_PUMA5_20|FUNCSTAT_PUMA5_20|OID_UA_20|GEOID_UA_20|NAMELSAD_UA_20|AREALAND_UA_20|AREAWATER_UA_20|MTFCC_UA_20|FUNCSTAT_UA_20|AREALAND_PART|AREAWATER_PART
2177029550566429|1701902|Champaign (North & East), Vermilion, Iroquois & Ford Counties PUMA|8049127444|17305100|G6120|S|27070535396881|39970|Hoopeston, IL Urban Area|5851429|0|G3500|S|5851429|0
2177029550566429|1701902|Champaign (North & East), Vermilion, Iroquois & Ford Counties PUMA|8049127444|17305100|G6120|S|27070199739477|68131|Paxton, IL Urban Area|5508604|0|G3500|S|5508604|0
2177029550566429|1701902|Champaign (North & East), Vermilion, Iroquois & Ford Counties PUMA|8049127444|17305100|G6120|S|27070144605195|73369|Rantoul, IL Urban Area|23306939|269802|G3500|S|23306939|269802
2177029550566429|1701902|Champaign (North & East), Vermilion, Iroquois & Ford Counties PUMA|8049127444|17305100|G6120|S|27070342055649|92863|Watseka, IL Urban Area|7423230|0|G3500|S|7423230|0
2177029550566457|1702900|Coles, Douglas, Crawford, Edgar, Clark & Cumberland Counties PUMA|7353505066|24718008|G6120|S||||||||7279596733|24588787
2177029550566457|1702900|Coles, Douglas, Crawford, Edgar, Clark & Cumberland Counties PUMA|7353505066|24718008|G6120|S|27070175658939|15400|Charleston, IL Urban Area|20079870|735|G3500|S|20079870|735
2177029550566457|1702900|Coles, Douglas, Crawford, Edgar, Clark & Cumberland Counties PUMA|7353505066|24718008|G6120|S|27070175658940|55576|Mattoon, IL Urban Area|21610579|46655|G3500|S|21610579|46655
2177029550566457|1702900|Coles, Douglas, Crawford, Edgar, Clark & Cumberland Counties PUMA|7353505066|24718008|G6120|S|27070199657936|67483|Paris, IL Urban Area|12726845|29281|G3500|S|12726845|29281
2177029550566457|1702900|Coles, Douglas, Crawford, Edgar, Clark & Cumberland Counties PUMA|7353505066|24718008|G6120|S|270701174299086|75529|Robinson, IL Urban Area|11667402|29100|G3500|S|11667402|29100
2177029550566457|1702900|Coles, Douglas, Crawford, Edgar, Clark & Cumberland Counties PUMA|7353505066|24718008|G6120|S|27070178174730|89137|Tuscola, IL Urban Area|7823637|23450|G3500|S|7823637|23450
2177029550566440|1703101|Cook County (Northwest)--Palatine & Barrington Townships PUMA|182112836|4060730|G6120|S||||||||52164718|1657251
2177029550566440|1703101|Cook County (Northwest)--Palatine & Barrington Townships PUMA|182112836|4060730|G6120|S|27070134695568|16264|Chicago, IL--IN Urban Area|6055094918|100880782|G3500|S|129948118|2403479
217704486282508|1703102|Cook County (Northwest)--Hanover & Schaumburg (Northwest) Townships PUMA|97776442|759928|G6120|S||||||||17461327|82754
217704486282508|1703102|Cook County (Northwest)--Hanover & Schaumburg (Northwest) Townships PUMA|97776442|759928|G6120|S|27070134695568|16264|Chicago, IL--IN Urban Area|6055094918|100880782|G3500|S|80315115|677174
2177029550566480|1703103|Cook County (Northwest)--Schaumburg Township (South & East) PUMA|68324249|390923|G6120|S|27070134695568|16264|Chicago, IL--IN Urban Area|6055094918|100880782|G3500|S|68324249|390923
2177029550566428|1703104|Cook County (Northwest)--Elk Grove & Wheeling (Southwest) Townships PUMA|85736633|1111642|G6120|S|27070134695568|16264|Chicago, IL--IN Urban Area|6055094918|100880782|G3500|S|85736633|1111642
217704486282519|1703105|Cook County (North)--Wheeling Township (North & East) PUMA|79044014|275851|G6120|S|27070134695568|16264|Chicago, IL--IN Urban Area|6055094918|100880782|G3500|S|79044014|275851
217704486282521|1703106|Cook County (Northeast)--Northfield & New Trier Townships PUMA|130033112|1728855382|G6120|S||||||||0|1727113206
217704486282521|1703106|Cook County (Northeast)--Northfield & New Trier Townships PUMA|130033112|1728855382|G6120|S|27070134695568|16264|Chicago, IL--IN Urban Area|6055094918|100880782|G3500|S|130033112|1742176
217704486282463|1703107|Cook County (Northeast)--Evanston & Niles (East) Townships PUMA|53070146|4583188|G6120|S||||||||36786|4523136
217704486282463|1703107|Cook County (Northeast)--Evanston & Niles (East) Townships PUMA|53070146|4583188|G6120|S|27070134695568|16264|Chicago, IL--IN Urban Area|6055094918|100880782|G3500|S|53033360|60052
217704486281894|1703108|Cook County (North)--Maine & Niles (West) Townships PUMA|89651774|640545|G6120|S|27070134695568|16264|Chicago, IL--IN Urban Area|6055094918|100880782|G3500|S|89651774|640545
2177029550566419|1703109|Cook County (West)--Leyden & Norwood Park Townships PUMA|62051562|0|G6120|S|27070134695568|16264|Chicago, IL--IN Urban Area|6055094918|100880782|G3500|S|62051562|0
2177029550566478|1703110|Cook County (West)--Proviso Township (North & West) PUMA|55334054|0|G6120|S|27070134695568|16264|Chicago, IL--IN Urban Area|6055094918|100880782|G3500|S|55334054|0
2177029550566479|1703111|Cook County (West)--Oak Park, Riverside, River Forest & Proviso (Southeast) Townships PUMA|50674868|48885|G6120|S|27070134695568|16264|Chicago, IL--IN Urban Area|6055094918|100880782|G3500|S|50674868|48885
2177029550566495|1703112|Cook County (Central)--Cicero & Berwyn Townships PUMA|25302898|0|G6120|S|27070134695568|16264|Chicago, IL--IN Urban Area|6055094918|100880782|G3500|S|25302898|0
2177029550566418|1703113|Cook County (West)--Lyons & Stickney Townships PUMA|126470826|1960465|G6120|S||||||||1132233|0
2177029550566418|1703113|Cook County (West)--Lyons & Stickney Townships PUMA|126470826|1960465|G6120|S|27070134695568|16264|Chicago, IL--IN Urban Area|6055094918|100880782|G3500|S|125338593|1960465
2177029550566490|1703114|Cook County (South Central)--Worth & Calumet Townships PUMA|94154881|1575450|G6120|S||||||||1679857|0
2177029550566490|1703114|Cook County (South Central)--Worth & Calumet Townships PUMA|94154881|1575450|G6120|S|27070134695568|16264|Chicago, IL--IN Urban Area|6055094918|100880782|G3500|S|92475024|1575450
2177029550566432|1703115|Cook County (Southwest)--Palos, Lemont & Orland (North & West) Townships PUMA|204562501|7660624|G6120|S||||||||55256727|4014882
2177029550566432|1703115|Cook County (Southwest)--Palos, Lemont & Orland (North & West) Townships PUMA|204562501|7660624|G6120|S|27070134695568|16264|Chicago, IL--IN Urban Area|6055094918|100880782|G3500|S|149305774|3645742
2177029550566453|1703116|Cook County (South Central)--Bremen & Orland (East) Townships PUMA|125695743|461662|G6120|S||||||||10855347|137803
2177029550566453|1703116|Cook County (South Central)--Bremen & Orland (East) Townships PUMA|125695743|461662|G6120|S|27070134695568|16264|Chicago, IL--IN Urban Area|6055094918|100880782|G3500|S|114840396|323859
2177029550566489|1703117|Cook County (Southeast)--Thornton Township PUMA|121463563|1255264|G6120|S|27070134695568|16264|Chicago, IL--IN Urban Area|6055094918|100880782|G3500|S|121463563|1255264
2177029550566449|1703118|Cook County (South)--Bloom & Rich Townships PUMA|214410424|1047866|G6120|S||||||||19019613|116870
2177029550566449|1703118|Cook County (South)--Bloom & Rich Townships PUMA|214410424|1047866|G6120|S|27070134695568|16264|Chicago, IL--IN Urban Area|6055094918|100880782|G3500|S|195390811|930996
2177029550566452|1703151|Chicago City (Northwest)--Albany Park, Norwood Park, Forest Glen, North Park & O'Hare PUMA|61854668|136512|G6120|S|27070134695568|16264|Chicago, IL--IN Urban Area|6055094918|100880782|G3500|S|61854668|136512
2177029550566448|1703152|Chicago City (North)--West Ridge, Lincoln Square & North Center PUMA|20893896|163126|G6120|S|27070134695568|16264|Chicago, IL--IN Urban Area|6055094918|100880782|G3500|S|20893896|163126
2177029550566462|1703153|Chicago City (North)--Uptown, Edgewater & Rogers Park PUMA|15290170|2851012|G6120|S||||||||0|2724921
2177029550566462|1703153|Chicago City (North)--Uptown, Edgewater & Rogers Park PUMA|15290170|2851012|G6120|S|27070134695568|16264|Chicago, IL--IN Urban Area|6055094918|100880782|G3500|S|15290170|126091
2177029550566439|1703154|Chicago City (North)--Lake View & Lincoln Park PUMA|15991591|3636437|G6120|S||||||||0|3103981
2177029550566439|1703154|Chicago City (North)--Lake View & Lincoln Park PUMA|15991591|3636437|G6120|S|27070134695568|16264|Chicago, IL--IN Urban Area|6055094918|100880782|G3500|S|15991591|532456
2177029550566421|1703155|Chicago City (Northwest)--Logan Square, Irving Park & Avondale PUMA|22721621|150778|G6120|S|27070134695568|16264|Chicago, IL--IN Urban Area|6055094918|100880782|G3500|S|22721621|150778
2177029550566486|1703156|Chicago City (Northwest)--Portage Park, Dunning & Jefferson Park PUMA|25890667|0|G6120|S|27070134695568|16264|Chicago, IL--IN Urban Area|6055094918|100880782|G3500|S|25890667|0
2177029550566463|1703157|Chicago City (West)--Belmont Cragin, Humboldt Park, Hermosa & Montclare PUMA|25096117|0|G6120|S|27070134695568|16264|Chicago, IL--IN Urban Area|6055094918|100880782|G3500|S|25096117|0
2177029550566458|1703158|Chicago City (West)--Austin, North Lawndale & East/West Garfield Park PUMA|35080719|71093|G6120|S|27070134695568|16264|Chicago, IL--IN Urban Area|6055094918|100880782|G3500|S|35080719|71093
2177029550566442|1703159|Chicago City (West)--West Town & Near West Side PUMA|26184490|293566|G6120|S|27070134695568|16264|Chicago, IL--IN Urban Area|6055094918|100880782|G3500|S|26184490|293566
2177029550566465|1703160|Chicago City (Central)--Near North Side, Loop & Near South Side PUMA|15334504|4694307|G6120|S||||||||0|3641722
2177029550566465|1703160|Chicago City (Central)--Near North Side, Loop & Near South Side PUMA|15334504|4694307|G6120|S|27070134695568|16264|Chicago, IL--IN Urban Area|6055094918|100880782|G3500|S|15334504|1052585
2177029550566459|1703161|Chicago City (South)--Hyde Park, Grand Boulevard, Woodlawn, Douglas & Kenwood PUMA|28133776|7126830|G6120|S||||||||0|6715359
