OID_UA_10|GEOID_UA_10|NAMELSAD_UA_10|AREALAND_UA_10|AREAWATER_UA_10|MTFCC_UA_10|FUNCSTAT_UA_10|OID_UA_20|GEOID_UA_20|NAMELSAD_UA_20|AREALAND_UA_20|AREAWATER_UA_20|MTFCC_UA_20|FUNCSTAT_UA_20|AREALAND_PART|AREAWATER_PART
|||||||27070709865920|04924|Bandon, OR Urban Area|12605488|41944|G3500|S|6997565|34382
|||||||27070105063110|04951|Bangor, ME Urban Area|132390040|4822906|G3500|S|27005184|1413757
|||||||27070456852188|05005|Baraboo, WI Urban Area|17518061|214011|G3500|S|1885168|27141
|||||||27070178838221|05032|Barbourville, KY Urban Area|13718477|73476|G3500|S|3408790|0
|||||||2707032391318102|05040|Barceloneta--Florida--Bajadero, PR Urban Area|108004676|73429|G3500|S|9504621|32052
|||||||27070121231245|05059|Bardstown, KY Urban Area|34627012|272635|G3500|S|1748253|7546
|||||||27070379770731|05113|Barnesville, GA Urban Area|15058636|109101|G3500|S|2413748|14437
|||||||27070203644651|05167|Barnstable Town, MA Urban Area|883909133|90287592|G3500|S|156034760|33132429
|||||||27070487710377|05221|Barre--Montpelier, VT Urban Area|37270872|413559|G3500|S|8179180|143005
|||||||270701322272728|05302|Barstow, CA Urban Area|32068959|0|G3500|S|5639751|0
|||||||27070731567085|05329|Bartlesville, OK Urban Area|51181227|32200|G3500|S|5747202|0
|||||||2707032391317957|05383|Bartow, FL Urban Area|20496504|669388|G3500|S|2127160|57154
|||||||27070337837505|05410|Basalt, CO Urban Area|9433311|68797|G3500|S|1742107|96
|||||||2707070025709|05437|Bastrop, LA Urban Area|26749993|105190|G3500|S|1960384|0
|||||||27070477366489|05464|Bastrop, TX Urban Area|46957839|620588|G3500|S|20647646|310308
|||||||27070116180944|05491|Batavia, NY Urban Area|20898199|118102|G3500|S|1433869|6174
|||||||27070239137750|05518|Batesburg-Leesville, SC Urban Area|14503633|163954|G3500|S|2137495|36390
|||||||27070313394728|05545|Batesville, AR Urban Area|20312531|22032|G3500|S|4515625|22032
|||||||27070109309514|05572|Batesville, IN Urban Area|14178627|175293|G3500|S|3356690|86505
|||||||27070109816737|05599|Batesville, MS Urban Area|16264239|0|G3500|S|3169935|0
|||||||27070107947912|05653|Bath, NY Urban Area|7522968|245799|G3500|S|514800|915
|||||||2707053994012|05680|Baton Rouge, LA Urban Area|1026517587|11310643|G3500|S|172520077|770261
|||||||27070186283634|05707|Battle Creek, MI Urban Area|122588672|4148654|G3500|S|7851779|828816
|||||||27070404928863|05734|Battlement Mesa, CO Urban Area|7936842|56226|G3500|S|1118494|55585
|||||||27070331901237|05788|Baxley, GA Urban Area|16211372|13308|G3500|S|3524487|4671
|||||||27070295915477|05842|Bayard, NM Urban Area|8065433|64219|G3500|S|2999504|35482
